                      GARIBALDI                  ITÁ          PASSO FUNDO          FOZ CHAPECO             SAO JOSE       PASSO SAO JOAO         BARRA GRANDE         CAMPOS NOVOS           MACHADINHO           MONJOLINHO        QUEBRA QUEIXO
                            089                  092                  093                  094                  102                  103                  215                  216                  217                  220                  286
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL
27/01/2020                51.62                43.44                 9.92                39.99                82.29                 3.16                29.28                 5.10                46.97                 7.00                18.30
28/01/2020                47.50                41.09                 8.70                39.56                79.15                 3.04                26.97                 4.70                44.60                 6.14                17.48
29/01/2020                43.95                39.05                 7.76                39.15                76.61                 2.94                25.05                 4.35                42.91                 5.48                16.74
30/01/2020                40.91                37.25                 7.82                38.84                74.51                 2.86                24.04                 4.05                41.60                 5.52                16.11
31/01/2020                38.51                36.60                 8.63                39.22                75.12                 2.89                23.47                 3.81                40.79                 6.10                15.69
01/02/2020                37.56                36.83                 7.86                39.69                77.43                 2.98                26.44                 3.71                45.00                 5.55                15.38
02/02/2020                37.35                35.73                 7.24                39.46                79.61                 3.06                27.05                 3.69                46.00                 5.11                14.97
03/02/2020                36.34                37.36                 8.33                39.67                79.94                 3.07                27.13                 3.59                42.44                 5.89                15.02
04/02/2020                37.83                40.95                 7.72                42.65                77.69                 2.98                32.49                 3.74                43.07                 5.46                15.79
05/02/2020                38.09                40.02                 7.02                41.49                77.14                 2.96                29.33                 3.77                41.29                 4.96                15.17
06/02/2020                36.34                37.78                 6.63                40.43                79.83                 3.07                27.94                 3.59                39.12                 4.68                14.52
07/02/2020                34.83                36.34                 6.30                39.57                80.42                 3.09                26.82                 3.44                38.88                 4.45                14.00
