-50.35 -19.89 1.00
-44.63 -21.28 1.30
-48.16 -20.25 0.30
-49.95 -21.60 0.10
-45.04 -21.14 0.50
-46.32 -20.67 0.70
-49.18 -20.30 0.60
-45.67 -21.59 0.10
-48.18 -21.02 0.10
-45.49 -21.61 0.40
-48.55 -20.00 1.80
-51.65 -26.00 0.00
-52.00 -25.78 0.00
-53.48 -25.53 0.00
-51.74 -25.49 0.00
-51.08 -26.23 0.20
-53.74 -24.19 0.00
-54.56 -22.97 0.00
-54.58 -25.42 0.00
-53.53 -22.38 0.30
-53.17 -23.18 0.00
-48.54 -17.99 1.80
-48.67 -16.15 3.10
-47.98 -18.45 1.10
-49.10 -18.42 2.30
-47.70 -19.13 0.80
-50.16 -18.07 0.90
-47.68 -18.05 1.80
-50.50 -19.02 1.70
-50.52 -22.94 0.00
-51.33 -22.65 0.00
-49.73 -23.01 0.00
-49.23 -23.22 0.00
-50.71 -24.06 0.00
-52.87 -22.50 0.00
-47.33 -16.21 2.60
-44.76 -18.95 1.60
-44.86 -15.93 2.30
-45.07 -16.37 1.80
-45.27 -18.16 1.30
-43.83 -11.35 10.60
-48.55 -22.52 0.00
-46.91 -23.46 0.10
-48.99 -21.76 0.00
-50.20 -21.12 0.30
-48.30 -13.40 2.80
-51.20 -27.78 0.10
-51.33 -27.60 0.00
-53.04 -27.14 0.00
-52.38 -27.27 0.00
-51.78 -27.52 0.00
-52.73 -27.35 0.00
-52.54 -26.66 0.00
-55.05 -28.14 0.00
