-50.35 -19.89 2.80
-44.63 -21.28 3.40
-48.16 -20.25 5.20
-49.95 -21.60 3.20
-45.04 -21.14 3.40
-46.32 -20.67 2.90
-49.18 -20.30 3.00
-45.67 -21.59 3.20
-48.18 -21.02 3.20
-45.49 -21.61 3.00
-48.55 -20.00 4.30
-51.65 -26.00 10.00
-52.00 -25.78 12.50
-53.48 -25.53 9.40
-51.74 -25.49 9.70
-51.08 -26.23 7.90
-53.74 -24.19 11.60
-54.56 -22.97 10.70
-54.58 -25.42 14.60
-53.53 -22.38 6.50
-53.17 -23.18 10.00
-48.54 -17.99 2.40
-48.67 -16.15 2.80
-47.98 -18.45 1.50
-49.10 -18.42 3.10
-47.70 -19.13 2.90
-50.16 -18.07 2.70
-47.68 -18.05 2.00
-50.50 -19.02 3.00
-50.52 -22.94 2.80
-51.33 -22.65 4.60
-49.73 -23.01 3.50
-49.23 -23.22 3.10
-50.71 -24.06 6.80
-52.87 -22.50 7.60
-47.33 -16.21 2.80
-44.76 -18.95 2.70
-44.86 -15.93 2.90
-45.07 -16.37 1.80
-45.27 -18.16 2.60
-43.83 -11.35 2.00
-48.55 -22.52 2.10
-46.91 -23.46 4.40
-48.99 -21.76 2.80
-50.20 -21.12 2.60
-48.30 -13.40 3.80
-51.20 -27.78 4.00
-51.33 -27.60 4.40
-53.04 -27.14 5.10
-52.38 -27.27 5.50
-51.78 -27.52 4.60
-52.73 -27.35 4.90
-52.54 -26.66 5.70
-55.05 -28.14 3.30
