                      GARIBALDI                  ITÁ          PASSO FUNDO          FOZ CHAPECO             SAO JOSE       PASSO SAO JOAO         BARRA GRANDE         CAMPOS NOVOS           MACHADINHO           MONJOLINHO        QUEBRA QUEIXO
                            089                  092                  093                  094                  102                  103                  215                  216                  217                  220                  286
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL
11/02/2020                71.01                45.88                 7.56                56.41                51.84                 1.99                53.39                 7.02                39.64                 5.34                30.57
12/02/2020                70.33                42.99                 6.59                53.52                50.58                 1.94                45.84                 6.96                38.21                 4.66                28.20
13/02/2020                63.79                40.26                 5.86                51.06                49.36                 1.90                40.00                 6.31                37.01                 4.14                26.28
14/02/2020                58.18                37.98                 5.29                48.97                48.24                 1.85                35.99                 5.75                36.13                 3.73                24.47
15/02/2020                53.32                36.04                 4.84                47.19                47.18                 1.81                32.27                 5.27                35.10                 3.42                22.90
16/02/2020                49.10                34.36                 4.55                45.66                46.41                 1.78                29.29                 4.86                34.14                 3.22                21.51
17/02/2020                45.43                32.87                 4.28                44.34                45.87                 1.76                31.31                 4.49                33.44                 3.03                20.29
18/02/2020                42.41                31.56                 4.78                43.23                46.72                 1.80                34.12                 4.19                32.61                 3.37                19.23
19/02/2020                40.85                32.51                 7.66                42.60                50.40                 1.94                33.02                 4.04                32.14                 5.42                18.40
20/02/2020                43.91                33.69                 6.89                42.34                52.96                 2.03                35.71                 4.34                50.34                 4.86                17.73
21/02/2020                43.17                32.50                 6.02                41.40                55.91                 2.15                32.62                 4.27                47.82                 4.26                16.96
22/02/2020                40.29                30.99                 5.46                40.59                56.01                 2.15                29.40                 3.99                40.25                 3.85                16.28
