                      GARIBALDI                  ITÁ          PASSO FUNDO          FOZ CHAPECO             SAO JOSE       PASSO SAO JOAO         BARRA GRANDE         CAMPOS NOVOS           MACHADINHO           MONJOLINHO        QUEBRA QUEIXO
                            089                  092                  093                  094                  102                  103                  215                  216                  217                  220                  286
                    INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL          INCREMENTAL          INCREMENTAL          INCREMENTAL                TOTAL
12/02/2020                72.17                41.82                 7.23                53.05                49.85                 1.92                55.97                 7.14                39.11                 5.11                29.80
13/02/2020                65.22                39.30                 6.57                50.81                48.70                 1.87                47.84                 6.45                37.44                 4.64                27.61
14/02/2020                59.79                37.18                 6.05                48.89                47.61                 1.83                41.94                 5.91                36.23                 4.28                25.71
15/02/2020                54.63                35.36                 5.65                47.25                46.59                 1.79                36.97                 5.40                35.08                 3.99                24.06
16/02/2020                50.13                33.88                 5.85                45.87                45.94                 1.77                33.06                 4.96                34.04                 4.14                22.61
17/02/2020                46.92                32.99                 5.55                45.18                46.17                 1.77                34.03                 4.64                33.68                 3.92                21.41
18/02/2020                44.98                32.04                 5.56                44.17                51.82                 1.99                34.14                 4.45                33.13                 3.92                20.35
19/02/2020                44.23                31.50                 5.65                43.59                62.01                 2.38                34.04                 4.37                32.44                 4.00                19.84
20/02/2020                49.64                30.95                 5.30                43.08                65.14                 2.50                34.57                 4.91                32.30                 3.74                19.96
21/02/2020                48.93                30.01                 5.04                42.20                67.85                 2.61                30.98                 4.84                30.85                 3.56                19.52
22/02/2020                45.29                29.01                 4.75                41.41                62.05                 2.38                28.43                 4.48                29.65                 3.36                18.68
23/02/2020                41.96                27.96                 4.49                40.66                56.26                 2.16                25.86                 4.15                28.69                 3.18                17.90
